textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²)
3440297f8b,"` ok , trying plot alternatives speak * sigh *",*sigh*,negative,noon,60-70,Belgium,11589623,30280.0,383
919fa93391,"` sick past days thus , hair looks wierd . didnt hat would look ... http : //tinyurl.com/mnf4kw",sick,negative,night,70-100,Belize,397628,22810.0,17
af3fed7fc3,back home gon na miss every one,onna,negative,morning,0-20,Benin,12123200,112760.0,108
40e7becabf,hes,Hes just not that into you,neutral,noon,21-30,Bhutan,771608,38100.0,20
04d17ef61e,"oh marly , ` sorry ! ! hope find soon ! ! < 3 < 3","oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral,night,31-45,Bolivia,11673021,1083300.0,11
e48b0b8a23,playing ghost online really interesting . new updates kirin pet metamorph third job . ` wait dragon pet,interesting.,positive,morning,46-60,Bosnia and Herzegovina,3280819,51000.0,64
7de057cf40,cleaning house family comming later today ..,is cleaning the house for her family who is comming later today..,neutral,noon,60-70,Botswana,2351627,566730.0,4
9ce5570064,got ta restart computer .. thought win7 supposed put end constant rebootiness,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,night,70-100,Brazil,212559417,8358140.0,25
0c8cc71c46,see wat mean bout foll0w friidays ... ` called lose f0llowers friday ... smh,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,morning,0-20,Brunei,437479,5270.0,83
e00c6ef376,"free fillin ` app ipod fun , im addicted","the free fillin` app on my ipod is fun, im addicted",positive,noon,21-30,Bulgaria,6948445,108560.0,64
852edc3769,` sorry .,I`m sorry.,negative,night,31-45,Burkina Faso,20903273,273600.0,76
bdc32ea43c,way malaysia ... internet access twit,.no internet,negative,morning,46-60,Burundi,11890784,25680.0,463
6ce4a4954b,juss came backk berkeleyy ; omg madd fun havent minute . whassqoodd ?,fun,positive,noon,60-70,Côte d'Ivoire,26378274,318000.0,83
d22e6d40a7,went sleep power cut noida power back working,Power back up not working too,negative,night,70-100,Cabo Verde,555987,4030.0,138
d33f811375,` going home . seen new twitter design ? quite .... heavenly ` * * * * ?,Quite....heavenly,positive,morning,0-20,Cambodia,16718965,176520.0,95
7d8c4c11e4,hope unni make audition . fighting dahye unni !,hope,positive,noon,21-30,Cameroon,26545863,472710.0,56
1c31703aef,consolation got bmi tested hahaha says obesed well much unhappy 10 minutes .,well so much for being unhappy for about 10 minute,negative,night,31-45,Canada,37742154,9093510.0,4
2dc51711bc,` funny . cute kids .,funny.,positive,morning,46-60,Central African Republic,4829767,622980.0,8
d21ab5855b,"ahhh , slept game . ` gon na try best watch tomorrow though . hope play army .","Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,noon,60-70,Chad,16425864,1259200.0,13
4f5267ad70,"thats , end . tears fears vs eric prydz , dj hero http : //bit.ly/2hpbg4","Thats it, its the end. Tears for Fears",neutral,night,70-100,Chile,19116201,743532.0,26
2724775d6b,born raised nyc living texas past 10 years ! still miss ny,miss,negative,morning,0-20,China,1439323776,9388211.0,153
1cbc812ece,"case wonder , really busy today coming adding tons new blogs updates stay tuned","just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,noon,21-30,Colombia,50882891,1109500.0,46
4b61dffbeb,` soooooo sleeeeepy ! ! ! last day ` school today .... sniffle ....,soooooo sleeeeepy!!!,negative,night,31-45,Comoros,869601,1861.0,467
2863f435bd,"little happy wine jeje ok ` sm free time cares , jaja love day",A little happy fo,positive,morning,46-60,Congo (Congo-Brazzaville),5518087,342000.0,16
d93afa85cf,"car happy , big big dent boot ! hoping theyre going write , crossing fingers waiting","Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,noon,60-70,Costa Rica,5094118,51060.0,100
fab6b7d16c,im avid fan * * * * magazine love magazines,avid fan of,positive,night,70-100,Croatia,4105267,55960.0,73
2e7082d1c8,mayday ? !,MAYDAY?!,neutral,morning,0-20,Cuba,11326616,106440.0,106
684081e4e7,"ratt rocked nashville tonite .. one thing sucked , encore ! like 80 ` still fun show . pearcy hott bad boy look","RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,noon,21-30,Cyprus,1207359,9240.0,131
c77717b103,love ! ` available 5pm . dear ? would love help convert vids.ã¯â¿â½,I love to!,positive,night,31-45,Czechia (Czech Republic),10708981,77240.0,139
a9d499e123,girl hair salon asked 'shall trim eyebrows ! ' old feel ?,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,morning,46-60,Democratic Republic of the Congo,89561403,2267050.0,40
ddf296dffa,egh blah boooooooooooo dunno wan na go work hangovers suckkkkkk im drunk mess !,SUCKKKKKK,negative,noon,60-70,Denmark,5792202,42430.0,137
c3924dc9e4,: visiting friendster facebook,:visiting my friendster and facebook,neutral,night,70-100,Djibouti,988000,23180.0,43
3d9d4b0b55,"donbt like peel prawns , also dont like going shopping , running money crawling round car looking",dont like go,negative,morning,0-20,Dominica,71986,750.0,96
3fcea4debc,case ? got new one last week ` thrilled mine .,d I`m not thrilled at all with mine.,negative,noon,21-30,Dominican Republic,10847910,48300.0,225
a3ae670885,check http : //twittersucks.com connect tweeple hate twitter,Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,night,31-45,Ecuador,17643054,248360.0,71
15d5f3a41b,"also bored school , third freelesson ( freistunde )","also bored at school, its my third freelesson( freistunde )",neutral,morning,46-60,Egypt,102334404,995450.0,103
3c4a21b2cb,hm ... us guess ...,hm... Both of us I guess...,neutral,noon,60-70,El Salvador,6486205,20720.0,313
11084dac09,* * * * ... u dissappointed past days,it is ****...u have dissappointed me that past few days,negative,night,70-100,Equatorial Guinea,1402985,28050.0,50
d8ba2a99a9,romance zero funny,romance zero is funny,positive,morning,0-20,Eritrea,3546421,101000.0,35
e77fd45003,` rather early run .. morning runner,I`d rather do the early run..but I am a morning runner,neutral,noon,21-30,Estonia,1326535,42390.0,31
b159318d76,bah coworker ran work late bag smacked knee really hurts,hurts,negative,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164,17200.0,67
6086b1f016,back later . http : //plurk.com/p/rp3k7,will be back later.,neutral,morning,46-60,Ethiopia,114963588,1000000.0,115
703afdc44b,aw . torn ace hearts # hunchback,Torn ace of hearts,negative,noon,60-70,Fiji,896445,18270.0,49
90f3d2b572,fun speaking ?,what fun are you speaking of?,neutral,night,70-100,Finland,5540720,304000.0,18
52483f7da8,"lost friends , ` alone sleepy .. wan na go home","i lost all my friends, i`m alone and sleepy..",negative,morning,0-20,France,65273511,547557.0,119
a4b0888da6,haha yes,haha yes,neutral,noon,21-30,Gabon,2225734,257670.0,9
2a9765b7f9,give easily,I give in to easily,negative,night,31-45,Gambia,2416668,10120.0,239
90a2cdb657,better way spoil mum let kick back relax nice meal bottle favorite wine ? wine red,favorite,positive,morning,46-60,Georgia,3989167,69490.0,57
98f25bc596,mannnn ..... _ got iphone ! ! ! im jealous .... http : //bit.ly/ngnar,jealous..,negative,noon,60-70,Germany,83783942,348560.0,240
23e1f7dca4,photoshoot .,Is at a photoshoot.,neutral,night,70-100,Ghana,31072940,227540.0,137
95e12b1cb1,` awesome ... worked ? ` good friend .,s awesome,positive,morning,0-20,Greece,10423054,128900.0,81
c34feef039,yay playing show tonight ! boo ` gon na soggy ` work right playing,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,noon,21-30,Grenada,112523,340.0,331
fa2654e730,chilliin,Chilliin,positive,night,31-45,Guatemala,17915568,107160.0,167
187494c25b,"know agent , let know","If you know such agent, do let me know",neutral,morning,46-60,Guinea,13132795,246000.0,53
4213627c3c,still smell smoke # kitchenfire,I still smell of smoke  #kitchenfire,neutral,noon,60-70,Guinea-Bissau,1968001,28120.0,70
a4e00d4d26,celtics-lakers rematch sounds better ` think ? lol,better,positive,night,70-100,Guyana,786552,196850.0,4
04e2e334de,"anyone extra keane ticket ? promise buy drink take rad pics fb / blog / flickr. , etc","Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,morning,0-20,Haiti,11402528,27560.0,414
0c4aa867d0,"'you ride one , catch one , summer til pop open one ' ?","'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,noon,21-30,Holy See,801,0.0,2003
a6c61eac26,good ! gor-juz yea kno asked yesterday tha hospital talked u said,she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,night,31-45,Honduras,9904607,111890.0,89
94bd67443c,ok - ` . popped say hi check things . ` probably head guttah later tonight,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,morning,46-60,Hungary,9660351,90530.0,107
35f393a245,"wow , really missin fam ( ily ) today . baddd .",BADDD.,negative,noon,60-70,Iceland,341243,100250.0,3
b2c9f115b1,sources say,My sources say no,neutral,night,70-100,India,1380004385,2973190.0,464
0a61cbf4b5,sooo tired,I am sooo tired,negative,morning,0-20,Indonesia,273523615,1811570.0,151
ee9ec7a5a4,"hey , change twitter account , ` even tell ...","Hey, you change your twitter account, and you didn`t even tell me...",neutral,noon,21-30,Iran,83992949,1630000.0,52
bbbc46889b,thank yyyyyyyyyoooooooooouuuuu !,THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,night,31-45,Iraq,40222493,434320.0,93
58d382e07a,lucky kid ... wan na see loserville pity im oz ....,lucky,positive,morning,46-60,Ireland,4937786,68890.0,72
cb4d439ebc,fell asleep waiting ride !,fell asleep waiting for my ride!,neutral,noon,60-70,Israel,8655535,21640.0,400
64ed512788,sick . flu like thing .,Sick.,negative,night,70-100,Italy,60461826,294140.0,206
4cd390c007,"still reply simfinger problem irape parody video get response , sorry guys",", sorry guys",negative,morning,0-20,Jamaica,2961167,10830.0,273
3d2fcd78c8,happy star wars day everyone ! enjoy holiday ( uk ),Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,noon,21-30,Japan,126476461,364555.0,347
0c0563423e,miles ` essex give plenty warning arrive time get least one free beers .,Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,neutral,night,31-45,Jordan,10203134,88780.0,115
cd0d522bb1,"snoring annoying n keeps sleeping ( like right , lol ) honestly wud miss eva left love .","His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,morning,46-60,Kazakhstan,18776707,2699700.0,7
bffa3ddd61,miss bby wish going tomorrow make good .,i miss you bby,negative,noon,60-70,Kenya,53771296,569140.0,94
9339ee8e0b,well im working ` quite ready post publicly ( still beta testing ) cool new script coded,cool,positive,night,70-100,Kiribati,119449,810.0,147
a76f9cf8ce,sweeeeet - san fran awesome ! ! ! ! love,Love it there,positive,morning,0-20,Kuwait,4270571,17820.0,240
4ce121e2ad,_mounce yes lasts way past bedtime !,_Mounce yes and it lasts way past my bedtime!,neutral,noon,21-30,Kyrgyzstan,6524195,191800.0,34
a3de81e1ba,hi ? ? ? * joined twitter ... *,Hi  how are you doing ???  *just joined twitter...,neutral,night,31-45,Laos,7275560,230800.0,32
55bacda5eb,waiting sleeping pills kick ... gon na tired work tomorrow,tired,negative,morning,46-60,Latvia,1886198,62200.0,30
b63ed6da62,eating ice cream getting ready graduation .,eating ice cream and then getting ready for graduation.,neutral,noon,60-70,Lebanon,6825445,10230.0,667
4c41a35a2a,happy mothers day mums,Happy Mothers day to all you Mums out there,positive,night,70-100,Lesotho,2142249,30360.0,71
61a8e11e8a,"casey ` gone ? ! ? ! ? ! , piddled little carpet . ` prolly freaked cause ` new . get back ?",freaked,negative,morning,0-20,Liberia,5057681,96320.0,53
447dc22c81,hemp cloth marvelous unfortunately,unfortunately,negative,noon,21-30,Libya,6871292,1759540.0,4
3408db03a3,gon na read story bout adam lambert online bed . nighty night,Gonna read a story bout adam lambert online then bed. Nighty night,neutral,night,31-45,Liechtenstein,38128,160.0,238
92e1b6846e,saw none 3d - baddie ` best,best,positive,morning,46-60,Lithuania,2722289,62700.0,43
2207d982bc,4am . im beach . pretty,Pretty,positive,noon,60-70,Luxembourg,625978,2590.0,242
15e01e1749,"certainly cheers , huh ?","Certainly not Cheers than, huh?",neutral,night,70-100,Madagascar,27691018,581795.0,48
ebcdf07ac5,"1 week post my'horrible , traumatic jumping cholla accident . '-cholla ` next dirty trick : pieces starting emerge hand ! ouch !","horrible,",negative,morning,0-20,Malawi,19129952,94280.0,203
fd9fb4f1ad,realy wanted go cause nice everybodys busy,busy,negative,noon,21-30,Malaysia,32365999,328550.0,99
6b018d3d2d,awesome . ` ocean beach ( know . ) way . 'yourbiggestfan ' ` re-al big fan you-rs .,Awesome.,positive,night,31-45,Maldives,540544,300.0,1802
327a009a7d,least get watch time let ` go pens ! !,at least I get to watch over time  Let`s go Pens!!,neutral,morning,46-60,Mali,20250833,1220190.0,17
d0d3c6f298,cool wear black time go,cool i wear black most of the time when i go out,neutral,noon,60-70,Malta,441543,320.0,1380
40649553ef,haha know work blip apart obvious ! thanks reblipping song nice day * * * *,thanks,positive,night,70-100,Marshall Islands,59190,180.0,329
561b44a42f,safe trip joshy poo ....... ` knock dead speech,safe,positive,morning,0-20,Mauritania,4649658,1030700.0,5
a05aea73d7,"woof , wish allowed go",I wish I was allowed to go,positive,noon,21-30,Mauritius,1271768,2030.0,626
9c4817f73b,u friendster add ! ! ! ! ! ! ! ! ! email adress add loco_crime_1st.com add leave comment,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me,neutral,night,31-45,Mexico,128932753,1943950.0,66
f0c1601d8b,tickets ....... ?,has tickets.......?,neutral,morning,46-60,Micronesia,115023,700.0,164
d421fbd332,"thank , afrin nasal spray ! also , got giant teacup tonight !","Thank you,",positive,noon,60-70,Moldova,4033963,32850.0,123
99b7ec4b0b,acsm . ` unfathomable . think one .. .. one kept comfort bedrooms . yes ?,ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,night,70-100,Monaco,39242,1.0,26337
a655fbb5eb,"aww , love daddy ! works 7 days week almost day still tries go sf us",I love my,positive,morning,0-20,Mongolia,3278290,1553560.0,2
43e9a93104,many tests todayyy ` feel confident anyy .,I don`t feel confident,negative,noon,21-30,Montenegro,628066,13450.0,47
401869d615,graduation done im little sad .. anyone want hang ? ? ?,sad.,negative,night,31-45,Morocco,36910560,446300.0,83
9843c4688e,hahaa awesomee !,hahaa your awesomee !,positive,morning,46-60,Mozambique,31255435,786380.0,40
87fbf14655,holy smokes ! star trek freaking awesomeeeee,awesomeeeee,positive,noon,60-70,Myanmar (formerly Burma),54409800,653290.0,83
22d1806fa0,"hate fallout 3 keeps making jump , ` also low health , money , ammo food ` worry ` get .","I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,night,70-100,Namibia,2540905,823000.0,3
9d2cffd953,"! itunes , lost songs .","I had it! On my itunes, but then I lost all my songs.",neutral,morning,0-20,Nauru,10824,20.0,541
f78761f7ec,` gloomy weather ? sun must tired come play heading victoria gardens impulse buys haha,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,noon,21-30,Nepal,29136808,143350.0,203
66057d58c2,"looking forward next week : maths , geography , english french exams , totalling 7 hours",Not looking forward,negative,night,31-45,Netherlands,17134872,33720.0,508
af90ad5989,"poor get outside sleep garden , sun good . ` forget suncream ! ! !",Poor you,negative,morning,46-60,New Zealand,4822233,263310.0,18
f0460d611d,well,not well,negative,noon,60-70,Nicaragua,6624554,120340.0,55
6649f3558c,prob hun,Not a prob,positive,night,70-100,Niger,24206644,1266700.0,19
24532ab83c,"dads , watching mtv going sims2 minutee","at dads, watching some mtv and am going on sims2 in a minutee",neutral,morning,0-20,Nigeria,206139589,910770.0,226
8e1583cb08,absolutely,Absolutely,neutral,noon,21-30,North Korea,25778816,120410.0,214
4ea61dbc7a,` matter chickadee ?,what`s the matter chickadee?,neutral,night,31-45,North Macedonia,2083374,25220.0,83
94f67cfa6d,hey mia ! totally adore music . cd ?,y adore,positive,morning,46-60,Norway,5421241,365000.0,15
29dfaf5e3b,"shopping . cleaning . bmfing . webcam chatting nephews . nothing spesh , good bank holiday monday nonetheless",good,positive,noon,60-70,Oman,5106626,309500.0,16
974b35f889,=o need ask something ? lmao love,I love him too,positive,night,70-100,Pakistan,220892340,770880.0,287
b495300bbf,splinters look painful ... heroic saving mr. pickle,painful.,negative,morning,0-20,Palau,18094,460.0,39
504539e6ec,sad ?,sad?,negative,noon,21-30,Palestine State,5101414,6020.0,847
6903cb08f2,nice see tweeting ! ` sunday 10th may ` celebrating mother ` day today . nice yer mom,e nice,positive,night,31-45,Panama,4314767,74340.0,58
1996048e7a,decided 2 trans frm relaxed 2 natural hair wish whole head looked like roots . age instant gratification ....,i wish,positive,morning,46-60,Papua New Guinea,8947024,452860.0,20
c6d0c7676c,namaskar & namaste r . marathi people say namaskar ! marathi word .... ? ... naaaah !,Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral,noon,60-70,Paraguay,7132538,397300.0,18
ef74bab7f3,"congrats ! cuss like matter minutes , ` know reward .","Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,night,70-100,Peru,32971854,1280000.0,26
f3cf8ec01b,humous dorito ` .... oh yes,Humous and Dorito`s.... Oh yes,neutral,morning,0-20,Philippines,109581078,298170.0,368
cb1b0d191d,"missed awesome weather , movie !","missed all the awesome weather,",negative,noon,21-30,Poland,37846611,306000.0,124
3e67a75303,today going normal day hope . group pilots large airline come last night much drink,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,night,31-45,Portugal,10196709,91590.0,111
997a62f83f,"kids terrible ! good evans , ` call childline",terrible!,negative,morning,46-60,Qatar,2881053,11610.0,248
7e1757d4f0,"unfortunatley , aerlingus longer fly copenhagen ` fly ryanair billund drive copenhagen one days !","Unfortunatley,",negative,noon,60-70,Romania,19237691,230170.0,84
254546cd2c,"` sad actually google term . sucks , tho .","That sucks, tho.",negative,night,70-100,Russia,145934462,16376870.0,9
7e4ed52c4a,hate fighting,Hate fighting,negative,morning,0-20,Rwanda,12952218,24670.0,525
5069ae7a15,"watched ! ! ! didnt want win , put good fight .. lol","I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral,noon,21-30,Saint Kitts and Nevis,53199,260.0,205
48cdcd5f28,car-warmed sprite tastes like sore throat,Car-warmed Sprite tastes like sore throat,negative,night,31-45,Saint Lucia,183627,610.0,301
1b1b02af59,came 11th cross country beat dumbo,Just came 11th in cross country and beat dumbo,neutral,morning,46-60,Saint Vincent and the Grenadines,110940,390.0,284
ae71041e21,candle wax enjoyable .,enjoyable.,positive,noon,60-70,Samoa,198414,2830.0,70
11c10e3fc5,"` unassuming unpretentious . ` , . suppose ` ` endearing -- relate",endearing-,positive,night,70-100,San Marino,33931,60.0,566
19526ac03e,tomorrow valeria ` lunch ! ! ! going get hair done im arraving late got cousins babtizm whatever spell,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,morning,0-20,Sao Tome and Principe,219159,960.0,228
960bbdc0c3,goooooddd morning tweets ! ! week three workout . mention got new glasses yesterday ? ! ?,goooooddd morning tweets!!,positive,noon,21-30,Saudi Arabia,34813871,2149690.0,16
fd285fe74a,. hate computer much ..,hate,negative,night,31-45,Senegal,16743927,192530.0,87
a5a1c996c0,fine ! going big walk today 20 miles,fine!,positive,morning,46-60,Serbia,8737371,87460.0,100
20ec7c7c32,want red cruisers ! ! ` like ones . lmfao !,i don`t like the other ones.,negative,noon,60-70,Seychelles,98347,460.0,214
b948984e8d,mmmmmmmm ... ? morning,Mmmmmmmm... ? it in the morning,neutral,night,70-100,Sierra Leone,7976983,72180.0,111
6824c44c21,neither,me neither,neutral,morning,0-20,Singapore,5850342,700.0,8358
02d140362f,"10 hours work , sunday . boo . find time two hour lunchbreak though . yeah","Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral,noon,21-30,Slovakia,5459642,48088.0,114
5f93cc70ff,bugger . forgot still washing machine,Bugger. forgot I still have washing in my machine,negative,night,31-45,Slovenia,2078938,20140.0,103
4e6a5c0034,"_laurie sending love , blessings & healing thoughts & family peace","sending love, blessings & healing thoughts to you & family  peace",positive,morning,46-60,Solomon Islands,686884,28000.0,25
e4e9b8713a,back hurts ... really bad,.really bad,negative,noon,60-70,Somalia,15893222,627340.0,25
08975f62a8,"ah yes , know feeling","ah yes, I know that feeling",neutral,night,70-100,South Africa,59308690,1213090.0,49
4a1ce7dc3b,night cookers dad,Night of the cookers with my dad,neutral,morning,0-20,South Korea,51269185,97230.0,527
328a0e76bd,modem offline week ... god bless 3g network . tim left ... ! ! may schedule brutal,brutal,negative,noon,21-30,South Sudan,11193725,610952.0,18
abbd0db2a5,nope coquitlam,Nope I am in Coquitlam,neutral,night,31-45,Spain,46754778,498800.0,94
940eb93dd5,parent teacher thing yesterday ! ! boring going skl saturday ! ! lol,boring,negative,morning,46-60,Sri Lanka,21413249,62710.0,341
c78bf59e67,# lichfield # tweetup sounds like fun hope see everyone else !,p sounds like fun,positive,noon,60-70,Sudan,43849260,1765048.0,25
e73425ffdc,big booming thunder storm almost . maybe go home early ? ? ? ah ... probably .,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,night,70-100,Suriname,586632,156000.0,4
e56eeb4968,bevvies 2day twn .. great day ! !,great,positive,morning,0-20,Sweden,10099265,410340.0,25
7162d447ab,first night myers . w/out lydia ! ` actually excited summer !,excited,positive,noon,21-30,Switzerland,8654622,39500.0,219
f3d95b57b1,good morning,good morning,positive,night,31-45,Syria,17500658,183630.0,95
5e4eac2b2e,best show ever !,its the best show EVER!,positive,morning,46-60,Tajikistan,9537645,139960.0,68
bc02870b7d,url previous post ( timer job ) http : //bit.ly/a4fdb . ` removed space messed url . ^es,messed,negative,noon,60-70,Tanzania,59734218,885800.0,67
80e45e833f,think iv hurt tooth eilish cassie drawing competiton draw cookies pineapples haha : l .,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,night,70-100,Thailand,69799978,510890.0,137
f29df52d91,want know auditions mander ! text ... reply please !,I want to know when the auditions are Mander! Text or...reply please!,neutral,morning,0-20,Timor-Leste,1318445,14870.0,89
079e4e3472,even nooooo secret namerebecca please,NOT THE SECRET NAMEREBECCA PLEASE,negative,noon,21-30,Togo,8278724,54390.0,152
557e676fe4,miss neice ` wait see bad n grown * * * * ! lol,miss,negative,night,31-45,Tonga,105695,720.0,147
8d09044937,need get computer fixed,i need to get my computer fixed,neutral,morning,46-60,Trinidad and Tobago,1399488,5130.0,273
9d3a1e0269,really hopes car ` illness terminal ...,illness,negative,noon,60-70,Tunisia,11818619,155360.0,76
7ff2dbbe25,"cool people want find following today # english , guess english ` tweet .","All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral,night,70-100,Turkey,84339067,770000.0,110
5a254fbb98,sir ... woulda put honey ... `,no sir...i woulda put honey...but i don`t have any,neutral,morning,0-20,Turkmenistan,6031200,469930.0,13
417176c08e,watched x-men origins : wolverine ? totally loved ! haha,i totally loved it!,positive,noon,21-30,Tuvalu,11792,30.0,393
2bf5c7dba7,voted ! ! ! u personal myspace ? keep talking fakes < 3 . u helped thru hrdest time life ! ( : x,i <3 you. u helped me thru the hrdest time of my life!,positive,night,31-45,Uganda,45741007,199810.0,229
8407ac30b0,` sad missed guys last night !,sad,negative,morning,46-60,Ukraine,43733762,579320.0,75
6ed347b1a5,finally got call marriage counseling 3 days late ....,Finally got a call for marriage counseling 3 days late....,neutral,noon,60-70,United Arab Emirates,9890402,83600.0,118
97625460cf,ok,ok then,neutral,night,70-100,United Kingdom,67886011,241930.0,281
32e4ffe225,_420 baby ?,why baby?,neutral,morning,0-20,United States of America,331002651,9147420.0,36
24ee55f264,today last day high school ended going home sick ! ... stupid dead rats,sick!,negative,noon,21-30,Uruguay,3473730,175020.0,20
82b75647fd,` impromptu pool party ... except ` know swim ` get,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral,night,31-45,Uzbekistan,33469203,425400.0,79
a0a306868a,lost tooth 2day whilst eating gum ... oww,oww,negative,morning,46-60,Vanuatu,307145,12200.0,25
9b11b686ec,happy 1 year ! < 3,happy 1 year! <3,positive,noon,60-70,Venezuela,28435940,882050.0,32
7e7bc11e45,"oh , hella forgot say official good morning like hear ? go ! goooooooooooood morrrrrrrrning twitterville ! lol",Goooooooooooood Morrrrrrrrning,positive,night,70-100,Vietnam,97338579,310070.0,314
28dbada620,* phew * make note case anyone else runs issueã¯â¿â½,*phew*  Will make a note in case anyone else runs into the same issueÃ¯Â¿Â½,neutral,morning,0-20,Yemen,29825964,527970.0,56
3e880ec28d,? ? vote every day ! ! ! ! !,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,noon,21-30,Zambia,18383955,743390.0,25
38271074d1,` starving ! ! diet killing ` eat 8pm,This diet is killing me,negative,night,31-45,Zimbabwe,14862924,386850.0,38
ef12a3d183,talk,i talk to you,neutral,morning,46-60,Afghanistan,38928346,652860.0,60
f0db54f5bf,im soo bored ... im deffo missing music channels,bored..,negative,noon,60-70,Albania,2877797,27400.0,105
e651d415c6,nite nite bday girl fun concert,e fun,positive,night,70-100,Algeria,43851044,2381740.0,18
