score,Text,Actual_Score,GPT 3.5 Score,GPT 4.0 Score,Llama 7B Score
positive,"nyrstar also agreed supply talvivaara 150,000 tonnes sulphuric acid per annum use talvivaara 's leaching process period supply zinc concentrate .",5,3.0,3.0,4.0
positive,sales risen export markets .,5,4.0,4.0,5.0
positive,sales increased due growing market rates increased operations .,5,4.0,4.0,5.0
positive,agreement strengthens long-term partnership nokia siemens networks .,5,5.0,4.0,5.0
positive,company also estimates already carried investments lead increase net sales 2010 2009 reached eur 141.7 million .,4,4.0,4.0,4.0
positive,"company 's order book stood 1.5 bln euro $ 2.2 bln september 30 , 2007 , 24.2 pct year , international orders amounting 365 mln euro $ 534.3 mln .",4,4.0,3.0,4.0
positive,"company said paper demand increased main markets , including publication papers , increased average paper prices 4 percent compared last year .",4,4.0,4.0,4.0
positive,"world 's second largest stainless steel maker said net profit three-month period dec. 31 surged euro603 million us $ 781 million , euro3 .33 us $ 4.31 per share , euro172 million , euro0 .94 per share , previous year .",4,5.0,5.0,5.0
positive,"seppala 's revenue increased 0.2 % eur10 .1 m. finland , revenue went 2.4 % eur6 .8 , sales abroad rose 6.2 % eur3 .3 m. sales increased baltic countries well russia ukraine .",4,4.0,4.0,4.0
positive,"shares standard chartered ( stan ) rose 1.2 % ftse 100 , royal bank scotland ( rbs ) shares rose 2 % barclays shares ( barc ) ( bcs ) 1.7 % .",4,5.0,4.0,4.0
positive,shares nokia corp. rose thursday cell phone maker said third-quarter earnings almost doubled share global handset market increased .,4,4.0,5.0,5.0
positive,"financial report , published friday , seb said net profit soared sek6 .745 bn 2010 year-earlier sek1 .114 bn proposed 50 % dividend increase sek1 .50 per share .",4,4.0,5.0,5.0
neutral,"request finnish media company alma media 's newspapers , research manager jari kaivo-oja finland futures research centre turku school economics drawn future scenario finland 's national economy using model developed university denver .",3,3.0,3.0,4.0
neutral,"sweden , gallerix accumulated sek denominated sales 1 % eur denominated sales 11 % .",3,3.0,3.0,4.0
neutral,"investment place , atria plans expand moscow market .",3,3.0,3.0,5.0
neutral,"june sold 30 percent stake nordstjernan , investment group taken option acquire eqt 's remaining shares .",3,3.0,3.0,5.0
neutral,stock exchange announcement 20 july 2006 1 ( 1 ) basware share subscriptions warrants increase share capital total 119 850 shares subscribed basware warrant program .,3,3.0,3.0,4.0
neutral,new plant planned electricity generation capacity 350 megawatts ( mw ) heat generation capacity .,3,3.0,3.0,5.0
positive,"omx helsinki 25 index 0.92 pct 2,518.67 helsinki cap portfolio index 0.91 pct higher 4,711.19 .",5,4.0,3.0,5.0
neutral,"maximum 666,104 new shares subscribed exercising b options 2004 stock option plan .",3,2.0,3.0,5.0
neutral,"route helsinki finland tallinn estonia , cargo volumes increased 36 % , cargo volumes finland sweden fell 9 % .",3,3.0,3.0,4.0
positive,"rinkuskiai raised sales 18.1 percent , 1.37 million liters , sales kauno alus grew 14.3 percent , 960,000 liters .",5,4.0,4.0,5.0
neutral,tiimari operates 194 stores six countries -- including core finnish market -- generated turnover 76.5 mln eur 2005 .,3,2.0,3.0,5.0
positive,"combination services enabling us offer complex strengthened service chain limited baltic port connections also getting access world wide grimaldi network mediterranean , africa north america `` says uwe bakosch .",5,4.0,3.0,4.0
positive,"company still expects turnover 2010 slightly increase level 2009 , adding `` market predictability still poor trustworthy forecasts market development contract manufacturing business current year `` .",4,3.0,3.0,2.0
positive,acquisition considerably increase kemira 's sales market position russian metal industry coatings market .,4,4.0,4.0,5.0
positive,"january-september 2007 , finnlines ' net sales rose eur 505.4 mn eur 473.5 mn corresponding period 2006 .",5,4.0,4.0,5.0
positive,"adjusted changes group structure , division 's net sales increased 1.7 % .",4,4.0,3.0,5.0
positive,"`` change optimize operational efficiencies growing business , `` said julia prohaska , director marketing communications fiskars .",4,4.0,3.0,5.0
positive,"4 february 2011 - finnish broadband data communication systems provider teleste oyj hel : tlt1v saw net profit jump eur2 .1 last quarter 2010 eur995 ,000 period 2009 .",4,4.0,4.0,5.0
positive,finnish aktia group 's operating profit rose eur 17.5 mn first quarter 2010 eur 8.2 mn first quarter 2009 .,5,4.0,5.0,5.0
positive,finnish bank +àland 's consolidated net operating profit increased eur 4.8 mn first quarter 2005 eur 6.4 mn first quarter 2006 .,5,5.0,5.0,5.0
positive,"finnish financial group aktia reports operating profit eur 44.4 mn january-september 2009 , eur 37.3 mn corresponding period 2008 .",5,4.0,3.0,5.0
positive,"finnish high technology provider vaahto group reports net sales eur 41.8 mn accounting period september 2007 - february 2008 , increase 11.2 % year earlier .",5,4.0,4.0,4.0
positive,net sales finnish food industry company l+ñnnen tehtaat 's continuing operations increased 13 % 2008 eur 349.1 mn eur 309.6 mn 2007 .,5,4.0,4.0,5.0
positive,individual promotion also generated slightly higher-than-expected revenues .,5,4.0,4.0,4.0
positive,biohit already services many current genesis customers customer base expected expand result agreement .,5,4.0,4.0,4.0
positive,"operating profit turnover three-month period increased , respectively eur0 .9 eur8 .3 , compared corresponding period 2005 .",4,4.0,4.0,5.0
positive,circulation revenue increased 5 % finland 4 % sweden 2008 .,4,5.0,4.0,5.0
positive,clothing chain sepp+ñl+ñ 's net sales increased 7.0 % eur 30.8 mn .,4,4.0,4.0,5.0
positive,construction volumes meanwhile grow rate 10-15 percent annually .,4,4.0,4.0,5.0
positive,finnish swedish construction markets still experiencing estimated 4 % annual growth 2008 .,4,4.0,4.0,5.0
positive,"however , biohit estimates total net sales continue grow 2009 , favourable trends net sales lead profit 2009 .",5,4.0,5.0,5.0
positive,"2009 , fiskars ' cash flow operating activities amounted eur121m , eur97m previous year .",4,3.0,3.0,4.0
positive,"lithuania , operating profit rose eur 190,000 eur 70,000 corresponding period 2005 .",5,3.0,4.0,5.0
positive,"fourth quarter 2008 , net sales increased 2 % eur 1,050.7 mn eur 1,027.0 mn fourth quarter 2007 .",4,3.0,4.0,4.0
positive,"international sales rose 59.8 % eur 1,244.4 mn .",5,5.0,5.0,5.0
positive,net sales grew period x20ac 402 million $ 585us million x20ac 401 million 2006 .,4,4.0,3.0,5.0
positive,net sales increased eur655m april june 2010 eur438m year earlier .,5,5.0,5.0,5.0
positive,"net sales rose 25.5 % year-on-year eur59 .6 , number chargers delivered went 41 % 65.9 million pieces .",5,5.0,5.0,5.0
positive,"net sales totaled eur 93.6 mn , eur 93.2 mn corresponding period 2005 .",5,2.0,3.0,5.0
positive,operating profit increased 145.1 % eur 8.3 mn eur 3.4 mn .,5,5.0,5.0,5.0
positive,operating profit margin increased 11.2 % 11.7 % .,5,5.0,5.0,5.0
positive,operating profit rose eur 3.11 mn eur 1.22 mn corresponding period 2009 .,4,4.0,5.0,5.0
positive,operating profit rose eur 5mn eur 2.8 mn fourth quarter 2008 .,4,4.0,5.0,5.0
positive,"operating profit eur 24.5 mn , eur 23.0 mn .",5,3.0,3.0,5.0
positive,"ramirent 's net sales second quarterended june 30 euro 128.7 million u.s. $ 163 million , 3.3-percent increase compared euro 124.6 million thesecond quarter last year .",4,4.0,4.0,4.0
positive,"revenue grew 2 percent x20ac 580 million $ 743 million , x20ac 569 million .",5,4.0,3.0,5.0
positive,ruukki announced signed agreement aker solutions norway supply 24 suction anchors september 2010 kalajoki unit finland .,5,3.0,3.0,4.0
positive,"ruukki 's delivery volumes selling prices showed favourable development company 's comparable net sales grew 50 % year-on-year eur647m , ceo sakari tamminen said .",4,5.0,5.0,5.0
positive,sanoma magazines ' net sales estimated grow 2006 .,5,3.0,4.0,5.0
positive,bank forecasts finland 's gdp grow 2 % 2010 2011 .,4,3.0,4.0,5.0
positive,"company 's consolidated operating profit amounted eur 15.86 mn , eur 4.14 mn year-on-year .",5,3.0,4.0,5.0
positive,department store division reported increase sales 4 per cent .,5,4.0,4.0,5.0
positive,fair value company 's investment properties grew eur 2.803 billion end march 2009 eur 2.691 million year ago .,4,4.0,4.0,4.0
positive,"last quarter best quarter 2009 net sales , operating margin rose 12.2 % .",5,5.0,5.0,5.0
positive,"major breweries increased domestic beer sales 4.5 per cent last year , 256.88 million litres 245.92 million litres 2004 .",4,4.0,3.0,5.0
positive,"transaction doubles tecnomens workforse , adds fourth net sales .",4,3.0,3.0,5.0
positive,- operating profit rose 26.9 % eur 105.8 ( 83.4 ) million .,5,5.0,5.0,5.0
positive,"`` purchase , cramo become second largest rental services provider latvian market .",5,3.0,3.0,5.0
positive,`` purchase operations part yit 's strategy expand offering building system services geographically . ``,4,3.0,3.0,5.0
positive,21 october 2010 - finnish fishing tackle company rapala vmc corp ( hel : rap1v ) said today net profit rose eur18 .9 first nine months 2010 eur15 .1 period year earlier .,5,4.0,4.0,5.0
positive,"according finnish metso minerals , value company 's orders gone eur 1.9 bn 12 months .",4,2.0,3.0,5.0
positive,finnish aldata solution signed contract supply g.o.l.d . system two french retail chains .,5,4.0,3.0,5.0
positive,finnish bank +àland reports operating profit rose eur 21.3 mn second quarter 2009 eur 6.1 mn corresponding period 2008 .,5,4.0,5.0,5.0
positive,finnish financial group aktia 's operating profit 2009 increased eur 47.0 mn eur 6.6 mn 2008 .,5,4.0,5.0,5.0
positive,finnish forest machinery manufacturer ponsse 's net sales grew eur 51.3 mn first quarter 2010 eur 37.5 mn corresponding period 2009 .,4,4.0,4.0,5.0
positive,finnish kci konecranes raised net sales growth estimate 2006 25 % 35 % .,5,4.0,4.0,5.0
positive,finnish okmetic manufactures processes silicon wafers semiconductor sensor industries norwegian solar wafer company norsun signed contract okmetic supply norsun mono silicon crystals use solar cell manufacturing .,4,3.0,3.0,3.0
positive,finnish pharmaceuticals company orion 's net sales rose eur 190mn first quarter 2009 eur 180mn first quarter 2008 .,4,4.0,4.0,5.0
positive,"finnish ponsse signed agreement babcock africa distribution support ponsse forest machines , harvester heads , information systems south africa .",4,3.0,3.0,5.0
positive,south african sappi become largest foreign forest industry company operating finland result acquisition finnish m-real corporation 's graphic papers business unit .,4,3.0,3.0,5.0
positive,according deputy md pekka silvennoinen aim double turnover next three years .,4,3.0,3.0,5.0
positive,"according hkscan finland , plan increase j+ñrvi-suomen portti 's net sales eur 80mn eur 100mn .",5,2.0,4.0,5.0
positive,"advertising circulation revenues grew 3.4 % 0.4 % , respectively .",5,4.0,3.0,4.0
positive,"takeover , cramo become second largest rental services provider latvian market .",5,3.0,3.0,3.0
positive,", significant sales increase 18.6 % russia .",4,5.0,5.0,5.0
positive,alma media expects net sales increase forecast previously .,5,3.0,4.0,5.0
positive,also lemmink+ñinen 's profit accounting period went eur 3.1 mn eur -24.5 mn year ago .,5,2.0,3.0,4.0
positive,"end march 2007 , group 's order book eur 39.6 mn , 42 % corresponding period 2006 .",4,3.0,3.0,5.0
positive,"time profit company increased 10 % h1 reached ls 79,000 .",5,4.0,5.0,5.0
positive,"operating profit net sales 12-month period increased , respectively eur10 .5 eur28 .8 , compared financial year 2004 .",4,4.0,4.0,5.0
positive,"operating profit net sales 12-month period increased , respectively eur20 .8 eur177 .7 , compared financial year 2004 .",5,4.0,4.0,5.0
positive,"operating profit net sales 12-month period increased , respectively eur21 .5 eur196 .1 , compared 2005 .",5,4.0,4.0,5.0
positive,"operating profit net sales 12-month period increased , respectively eur4 .7 eur26 .7 , compared 2004 .",5,4.0,4.0,5.0
positive,"operating profit net sales nine-month period increased , respectively 26.6 % 3.4 % , compared corresponding period 2006 .",4,5.0,5.0,4.0
positive,"operating profit net sales six-month period increased , respectively , eur13 .8 eur143 .6 , compared corresponding period 2007 .",4,4.0,4.0,5.0
positive,"operating profit net sales six-month period increased , respectively eur0 .4 eur3 .2 , compared corresponding period 2005 .",5,4.0,4.0,5.0
positive,"operating profit net sales six-month period increased , respectively eur18 .1 eur127 .6 , compared corresponding period 2006 .",4,4.0,4.0,5.0
positive,"operating profit net sales six-month period increased , respectively eur7 .5 eur655 .5 , compared corresponding period 2005 .",4,4.0,4.0,5.0
positive,"operating profit net sales three-month period increased , respectively eur15 .1 eur131 .5 , compared corresponding period 2005 .",4,4.0,4.0,5.0
positive,"operating profit net sales three-month period increased , respectively eur16 .0 eur139m , compared corresponding quarter 2006 .",4,4.0,4.0,5.0
positive,"operating profit sales three-month period increased , respectively eur0 .3 eur13 .1 , compared corresponding period 2005 .",5,4.0,4.0,5.0
positive,"operating profit turnover nine-month period increased , respectively eur2 .4 eur43 .8 , compared corresponding period year ago .",5,4.0,4.0,5.0
positive,"operating profit turnover six-month period increased , respectively , eur17 .6 eur1149 .9 , compared corresponding period 2007 .",4,4.0,4.0,5.0
positive,"operating profit turnover six-month period increased , respectively eur0 .1 eur29 .0 , compared corresponding period year ago .",4,4.0,4.0,5.0
positive,cargo volume grew 7 % .,4,4.0,4.0,5.0
positive,cargo volume increased approximately 5 % .,4,4.0,4.0,5.0
positive,"comparable operating profit totaled eur 854mn , eur 730mn 2004 .",4,3.0,3.0,5.0
positive,"digia said consolidated net sales january-june 2010 eur67 .8 , 9.7 % period 2009 ( eur61 .9 ) .",5,2.0,3.0,5.0
positive,diluted earnings per share ( eps ) rose eur 0.29 eur 0.05 .,4,3.0,4.0,5.0
positive,diluted earnings per share ( eps ) rose eur 0.52 versus eur 0.09 .,4,4.0,4.0,5.0
positive,diluted earnings per share ( eps ) rose eur 1.05 eur 0.64 .,4,3.0,4.0,5.0
positive,diluted earnings per share ( eps ) rose eur 3.68 eur 0.50 .,5,2.0,4.0,5.0
positive,diluted eps rose eur3 .68 eur0 .50 .,4,3.0,4.0,5.0
positive,ebit margin 1.4 % 5.1 % .,4,3.0,3.0,5.0
positive,"eps quarter eur0 .00 , compared eur0 .01 third quarter 2008 , representing group net sales third quarter eur15 .3 , 2.8 % compared eur14 .9 third quarter 2008 .",5,2.0,3.0,5.0
positive,"eps continuing operations came 0.30 eur , 0.17 .",5,2.0,3.0,5.0
positive,"equity ratio 60.9 % compared 54.2 % third quarter 2007 , net sales frozen foods business totaled eur 11.0 , 5 % third quarter 2006 .",4,2.0,3.0,4.0
positive,"eur928 ,000 q1 2010 6 may 2010 - finnish textile clothing design company marimekko oyj ( hel : mmo1v ) said today net profit rose eur928 ,000 first quarter 2010 eur13 ,000 corresponding period year earlier .",5,4.0,4.0,5.0
positive,"finland-based elcoteq se , privately held provider electronics manufacturing services communications companies , said thursday signed long-term manufacturing supply deal communications equipment company andrew corp. .",4,3.0,3.0,5.0
positive,finnish cutlery hand tools maker fiskars oyj abp ( hel : fisas ) said today net profit rose eur 24.1 million ( usd 33.6 ) third quarter 2010 eur 17.9 million year earlier .,4,4.0,4.0,5.0
positive,finnish department store chain stockmann oyj abp net profit rose 39.8 mln euro ( $ 56.8 mln ) first nine months 2007 37.4 mln euro ( $ 53.4 mln ) period 2006 .,4,4.0,5.0,5.0
positive,"finnish lifting equipment maker konecranes oyj said july 30 , 2008 net profit rose 71.2 mln euro ( $ 111.1 mln ) first half 2008 57.1 mln euro ( $ 89.1 mln ) period 2007 .",5,4.0,5.0,5.0
positive,finnish messaging solutions developer tecnomen corporation ( omx helsinki : tem1v ) said thursday ( 11 december ) received expansion order convergent charging solution latin america .,4,4.0,3.0,5.0
positive,finnish metal industry solutions supplier outotec oyj net profit rose 50.4 mln euro ( $ 72.5 mln ) first nine months 2007 20.1 mln euro ( $ 28.9 mln ) period 2006 .,4,4.0,5.0,5.0
positive,finnish metal products company componenta oyj net profit rose 26.1 mln euro ( $ 35.9 mln ) first quarter 2007 5.3 mln euro ( $ 7.3 mln ) period 2006 .,4,5.0,5.0,5.0
positive,finnish office supplies computer accessories dealer beltton-group plc said net profit rose 1.3 mln euro ( $ 1.7 mln ) 2006 1.13 mln euro ( $ 1.5 mln ) 2005 .,5,4.0,4.0,5.0
positive,"finnish security privacy software solutions developer stonesoft oyj said january 7 , 2008 preliminary sales stonegate products grew 59 pct year-on-year 3.6 mln euro ( $ 5.3 mln ) fourth quarter 2007 .",5,4.0,4.0,5.0
positive,"finnish silicon wafer technology company okmetic oyj ( omx helsinki : okm1v ) reported thursday ( 7 august ) operating profit eur5 .3 period january-june 2008 , eur3 .3 corresponding period 2007 .",5,3.0,4.0,4.0
positive,finnish software developer done solutions oyj said net profit increased 3.5 mln euro ( $ 4.6 mln ) 2006 2.3 mln euro ( $ 3.0 mln ) 2005 .,5,4.0,4.0,5.0
positive,first quarter underlying operating profit rose 41 mln eur 33 mln year earlier .,4,4.0,5.0,5.0
positive,"following acquisition , relacom strengthen presence finland , serving operators office market mobile fixed networks construction , installation maintenance services .",4,3.0,4.0,5.0
positive,"first nine months 2010 , company 's net profit rose eur41m eur30m corresponding period 2009 .",4,4.0,5.0,5.0
positive,"helsinki ( afx ) - retail wholesale group kesko reported net sales 659.4 mln eur february , increase 10.8 pct year-on-year .",5,3.0,4.0,5.0
positive,"however , net sales 2010 seen grown eur598 .3 eur582 .3 2009 .",4,3.0,4.0,5.0
positive,"however , sales returned growth april-june 2010 , ceo pekka eloholma said .",5,3.0,4.0,3.0
positive,"ragutis , controlled finnish brewery , reported 5.4-per-cent rise beer sales 10.44 million litres held 11.09-per-cent market share .",4,3.0,3.0,5.0
positive,"svyturys-utenos alus , controlled nordic group baltic beverages holding ( bbh ) , posted 4.7-per-cent growth beer sales january-may 46.22 million litres .",4,4.0,3.0,5.0
positive,"december alone , members lithuanian brewers ' association sold total 20.3 million liters beer , increase 1.9 percent sales 19.92 million liters december 2004 .",4,4.0,3.0,5.0
positive,"january-september 2009 , group 's net interest income increased eur 112.4 mn eur 74.3 mn january-september 2008 .",4,4.0,4.0,5.0
positive,"q1 2010 , bank +àland 's net interest income increased eur 9.1 mn eur 9.7 mn .",4,3.0,4.0,3.0
positive,"sweden , operating profit period review totaled eur 3.4 mn , 30.8 % corresponding period 2005 .",4,3.0,3.0,5.0
positive,"fourth quarter 2009 , orion 's net profit went 33.8 % year-on-year eur33m .",5,4.0,4.0,5.0
positive,"second quarter 2010 , group 's net profit rose eur 3.1 million eur 2.5 million april-june 2009 .",5,5.0,4.0,5.0
positive,"second quarter 2010 , group 's net profit rose eur3 .1 eur2 .5 april-june 2009 .",4,4.0,4.0,5.0
positive,"third quarter , net sales increased 12 % year-on-year eur 159.5 million , 6 % comparable currency rates growth .",5,5.0,4.0,5.0
positive,"third quarter , net sales increased 12 % year-on-year eur159 .5 , 6 % comparable currency rates growth .",5,5.0,4.0,5.0
positive,market share widened 48.51 percent 48.31 percent year earlier .,4,5.0,4.0,5.0
positive,"kesko agro eesti , retailer wholesaler grain , agricultural warehousing machinery accessories , net sales 81 million euros 2007 , increase one-tenth preceding year .",4,4.0,3.0,4.0
positive,"kesko 's car import retailing business , vv-auto , saw sales grow 17.1 pct .",4,4.0,4.0,5.0
positive,kone 's net sales rose 14 % year-on-year first nine months 2008 .,5,4.0,5.0,5.0
positive,"( adp news ) - feb 11 , 2009 - finnish management software solutions provider ixonos oyj ( hel : xns1v ) said today net profit rose eur 3.5 million ( usd 4.5 ) 2008 eur 3.1 million 2007 .",5,4.0,4.0,4.0
positive,"( adp news ) - feb 12 , 2009 - finnish solutions provider affecto oyj ( hel : afe1v ) said today net profit rose eur 8.5 million ( usd 11m ) 2008 eur 7 million 2007 .",5,4.0,4.0,5.0
positive,"( adp news ) - feb 6 , 2009 - finnish fishing tackle company rapala vmc corp ( hel : rap1v ) said today net profit rose eur 19.2 million ( usd 24.6 ) 2008 eur 17.5 million 2007 .",4,4.0,5.0,5.0
positive,"( adp news ) - nov 5 , 2008 - finnish electronic measurement products solutions maker vaisala oyj ( omx : vaias ) said today net profit rose eur 18 million ( usd 23.1 ) first nine months 2008 eur 1",4,3.0,4.0,5.0
positive,"( adp news ) - oct 29 , 2008 - finnish lifting equipment maker konecranes oyj ( omx : kcr1v ) said today net profit rose eur 116.6 million ( usd 149.1 ) first nine months 2008 eur 73.6 million",5,4.0,5.0,5.0
positive,"metso expects net sales increase 10 % 2008 , comparable exchange rates .",5,4.0,4.0,5.0
positive,"neste oil corp. signed long-term procurement contracts honkajoki oy findest protein oy , owned finnish food manufacturers , supply animal fat biodiesel production neste 's 200,000 b-cd porvoo , finland , refinery .",5,3.0,3.0,4.0
positive,net interest income increased 4.5 % eur 31.4 mn eur 30.0 mn 2004 .,4,4.0,4.0,5.0
positive,"net interest income eur 152.2 mn , eur 101.0 mn 2008 .",4,2.0,3.0,5.0
positive,"net interest income eur 39.3 mn , eur 32.7 mn .",4,2.0,3.0,5.0
positive,net sales vegetable oil business rose eur 10.6 mn eur 10.1 mn .,5,4.0,4.0,4.0
positive,"nokia multimedia 's net sales totaled eur 5.7 bn , 45 % corresponding period 2005 .",5,3.0,3.0,5.0
positive,operating income rose eur 696.4 mn eur 600.3 mn 2009 .,5,4.0,5.0,5.0
positive,"operating profit kauppalehti group rose eur 1.5 mn eur 1.3 mn , marketplaces eur 1.3 mn eur 1.0 mn third quarter 2006 .",5,4.0,4.0,5.0
positive,operating profit rose eur 1.94 mn eur 2.45 mn .,5,5.0,4.0,5.0
positive,operating profit rose 22.1 mln eur 19.9 mln .,5,4.0,5.0,5.0
positive,operating profit rose eur 1.6 mn eur 1.1 mn corresponding period 2006 .,4,4.0,5.0,5.0
positive,operating profit rose eur 103.4 mn eur 23.2 corresponding period 2006 .,5,4.0,5.0,5.0
positive,operating profit rose eur 13.5 mn eur 9.7 mn corresponding period 2006 .,4,4.0,5.0,5.0
positive,operating profit rose eur 26.7 mn eur 14.9 mn corresponding period 2006 .,4,4.0,5.0,5.0
positive,operating profit rose eur 27.8 mn eur 17.5 mn 2008 .,4,5.0,5.0,5.0
positive,operating profit rose eur 3.2 mn eur 1.0 mn corresponding period 2008 .,4,4.0,5.0,5.0
positive,operating profit rose eur 4.7 mn eur 3.6 mn .,5,4.0,5.0,5.0
positive,operating profit rose eur 4.7 mn eur 4.6 mn .,5,4.0,5.0,4.0
positive,operating profit rose eur 9.2 mn eur 6.8 mn corresponding period 2007 .,4,4.0,5.0,5.0
positive,operating profit rose eur2 .4 eur1 .6 year earlier .,4,4.0,4.0,5.0
positive,"operating profit surged eur21m eur106 ,000 .",4,5.0,4.0,5.0
positive,"operating profit totaled eur 37,7 mn , slightly eur 37.2 mn corresponding period 2006 .",4,3.0,3.0,5.0
positive,"operating profit totaled eur 5.5 mn , eur -0.7 mn .",4,2.0,3.0,4.0
positive,"operating profit eur 11.4 mn , eur 7.5 mn .",5,3.0,3.0,5.0
positive,"operating profit eur 139.7 mn , 23 % eur 113.8 mn .",5,2.0,3.0,5.0
positive,"order intake grew 40 % year-on-year 30 % year-on-year , respectively , eur 576 million eur 1.7 billion respective january-september july-september 2010 periods .",4,5.0,5.0,5.0
positive,orders received grew 55 % year-on-year eur732m .,5,5.0,5.0,5.0
positive,orion pharma 's operating profit increased 42.5 % 2004 .,4,5.0,5.0,5.0
